conforto, strengthen
confugo, flee
congregatio, assembly
congrego, gather
congruus, agreeing
conicio, hurl
coniecto, throw
conitor, press
coniuratio, conspiracy
coniuratus, conspirator
coniuro, take
conor, undertake
conqueror, complain
conscendo, ascend
conscientia, conscience
conscindo, tear
conscius, conscious
conservo, preserve
considero, look
consido, set
consilio, intentionally
consilium, deliberation
consilium, advice 
consisto, take
consitor, sower
conspergo, sprinkle
conspicio, catch
constans, steady
constanter, steadily
constituo, set
constituo, arrange
constrictum, bind
constructum, construct
constupator, ravisher
constupro, ravish
consuasor, advisor
consuefacio, accustom
consuesco, accustom
consueta, customary
consuetudo, custom
consulatio, deliberation
consulo, reflect
consulto, ask
consulto, consider
consultum, decree
consummatio, completion
consummo, add
consumo, spend
consuo, sew
consurgo, stand
contabesco, waste
contactus,uching
contagio contagium, contagion
contamino, pollute
contego, cover
contemno, think
contemplatio, survey
contemplor, mark
contemptim, contemptuously
contemptio, scorn
contemptus, despised
contendo, compare
contendo, contend
contendo, assert
contente, eagerly
contentus, contented
contentus, strained 
contineo, touch
contineo, keep
contineo, hold
contineo, restrain 
continuus, connected
contrado, deliver
contraho, draw
contristo, make
contristo, sadden
conturbo, confuse
conventus, coming
conversatio, way
converto, turn
convoco, call
copia, abundance
copiae copie, supplies
copiose, fully 
cornu, horn
corona, crown
corpus, body
correptius, more
corripio, seize
corroboro, strengthen
corrumpo, break
corruo, fall 
cotidie, daily
crapula, wine 
creator, creator
creatura, creature
creber, thick
crebro, repeatedly
credo, believe
creo, create
creptio, taking
crepusculum, dusk
creta, chalk
cribro, sift
cribrum, sieve
crinis, hair
crinitus, long
crucio, torture
crudelis, cruel
cruentus, make
cruentus, bloody
crustulum, pastry
crux crucis, cross
cubicularis, pertaining
cubicularius, bed
cubiculum, bedroom
cubitum, reire
cubo, lie
cui, whom
culpa, fault
culpo, blame
cultellus, knife
cultura, cultivation
cunabula, cradle
cunae, nest
cunctatio, delay
cunctator, delayer
cunctor, delay
cunctus, all
cupiditas, ambition
cupido, passion
cupio, desire
cuppedia, delicacies
cupressus, cypress
cur, why
cura, management
curatio, attention
curator, guardian
curia, court
curiositas, curiosity
curiosus, careful
curis quris, a
curo, care
curriculum, lap
currus, cart
cursim, hastily
cursito, run
curso, run
cursor, runner
cursus, course
curto, shorten
curtus, shortened
curvo, bend
curvus, arched
custodia, protection
custodiae, guards
custos, keeper
damnatio, condemnation
damno, condemn
dapifer, seneschal
de, from
debeo, owe
debilito, weaken
debitoribus, debtors
decens, decenter
decerno, decide
decerto, contend
decet, it
decimus, tenth
decipio, ensnare
decor, beauty
decoro, beautify
decorus, beautiful
decretum, decree
decumbo, fall
dedecor, unseemly
dedecus, shame
dedico, dedicate
deduco, lad
defaeco, cleanse
defendo, defend
defero, hand
defessus, weary
defetiscor, grow
deficio, fail
defigo, fasten
defleo, weep
defleo, bewail
defluo, flow
defluo, flow
defungo, discharge
degenero, cause
degenero, be
degero, pass
degusto, taste
deinde, next
delectatio, delight
delecto, attract
delego, transfer 
delibero, consider
delicate, luxuriously 
deliciae, allurements
delinquo, fail
deludo, mock 
demergo, sink
demitto, set
demo, take
demonstro, indicate
demoror, loiter
demulceo, stroke
demum, at
denego, refuse
denique, at
denuncio, declare
denuntio, announce
denuo, anew
deorsum, downwards
depereo, perish
depono, put
depopulo, lay
deporto, carry
depraedor, plunder
deprecator, intercessor
deprecor, entreat
deprimo, press
depromo, take
depulso, push
deputo, count
derelinquo, forsake
derideo, laugh
deripio, tear
desidero, long
desidiosus, lazy
desino, leave
desino, cease
desipio, act
desolo, leave
desparatus, given
despecto, overlook
despero, have
despero, be
despiciens, contemptuous
despicio, look
desposco, demand
destinatus, resolute
destituo, set
detego, uncover
determino, fix
detineo, hold
detrimentum, damage
deus, god
devenio, come
devito, avoid
devoco, call
devoveo, consecrate
dexter, right
dextera, the
diabolus, devil
dico, speak
dictata, things
dictator, dictator
dictito, say
dicto, say
didicerat, 
didico, be
dido, separate
dies, day
diffama, spread
differo, spread
differo, delay
differtus, stuffed
difficilis, difficult
difficultas, difficulty
digestor, arranger
dignitas, merit
dignosco, distinguish 
digredior, depart
digressio, separation
digressus, separation
dilabor, break
dilato, spread
dilgenter, attentively
diligens, diligent
diligentia, diligence
diligo, choose
diluculo, dawn
dimidium, half
dimitto, break
dimittimus, forgive
dimmette, forgive
directus, plain
diripio, tear
diripio, separate
dirunitas, long
diruo, demolish 
discidium, separation
discipulus, disciple
disco, learn
discrepo, differ
dispono, arrange
disputatio, debate
disputo, discuss
dissero, examine
dissimilis, unlike
dissimulo, ignore
dissimulo, conceal
dissolutus, lax
distinguo, mark
distribuo, distribute
districtus, strict
dito, enrich
diu, long ago
diutinus, lasting
diutius, longer
diuturnus, lasting
diversus, different
dives, rich
divinitus, divine
divinus, divine
divitiae, riches
do, give 
dare, give 
dedi, give 
datum, give
doceo, instruct 
docui, instruct 
doctum, instruct
doctor, teacher
doctrina, doctrine
doctus, taught
dolens, painfully
doleo, suffer
dolor, pain
dolose, slyly
dolosus, crafty
dolus, fraud
domesticus, domestic
domina, lady
dominatus, rule
dominus, master 
domino, master
domito, tame
domus, house
donec, up
donum, gift
dormio, sleep
dubito, doubt
dubium, doubt
duco, lead
duco, draw
duco, charm
duco, calculate
dulcedo, sweetness
dulcidine, sweetly
dulcis, sweet
dulcitudo, dum
dumtaxat, at most
duo, two
duro, last
durus, hard
Dusiol petram, 
dux, leader
ducis, leader
eatenus, so far
ebullio, boil
ecclesia, church
econtra, against
ecquando, ever
edico, announce
editio, announcement
edo, eat
edi, eat
essum, eat
edoceo, inform
educo, draw
effectus, doing
effero, carry 
extuli, carry 
elatum, carry
effervo, boil
efficio, do
effringo, break
effundo, pour
egenus, destitute
egeo, need
ego, I
egredior, exit
eicio, eject
elatus, puff
electus, chosen
elementum, first
elemosina, alms
eligo, pick
eloquens, eloquent
eloquentia, eloquence
eluo, wash
eluvies, a
eluvio, inundation
emanio, flow
emendo, amend
emercor, buy
emerio, obtain
emineo, stand
eminor, threaten
eminus, at
emiror, wonder
emo, buy
emi, buy
emptum, buy
emoveo, move
emptio, a
enim, for
enumero, count
eo, go
ire, go 
itum, go
episcopalis, episcopal
episcopus, bishop
epistula, letter
epulo, sumptuous
epulor, feast
eques, horseman
equitatus, cavalry
equus, horse
erepo, creep
erga,  about
ergo, therefore
erogo, pay
erogo, pay
erro, wander
error, error
erubesco, blush
erudio, instruct
eruo, dig
esurio, be
es, you are
est, is
et, and
etenim, for
etiam, also
etsi, although
evenio, come
eventus, consequence
everto, turn
evito, shun
evoco, draw
ex, from
exaequo, equal
exequo, equal
excedo, leave 
excellentia, excellence
excessum, departure
excipio, except
excito, call
exclamo, shout
excludo, shut
