 Name,    'Mass', Diameter, density, Gravity, Escape V, Rotation,  Day,   Distance, Period, Moons, Temp
Mercury, 0.364,  3032,    339,     12.1,    2.7,      1407.6,   4222.6,   36.0,    88.0,   0,     333
Venus,    5.37,  7521,    327,     29.1,    6.4,     -5832.5,   2802.0,   67.2,   224.7,   0,     867
Earth,    6.58,  7926,    344,     32.1,    7.0,        23.9,     24.0,   93.0,   365.2,   1,      59
Mars,    0.708,  4221,    246,     12.1,    3.1,        24.6,     24.7,  141.6,   687.0,   2,     -85
Jupiter,  2093, 88846,     83,     75.9,   37.0,         9.9,      9.9,  483.8,  4331.0,  67,    -166
Saturn,    627, 31783,     43,     29.4,   22.1,        10.7,     10.7,  890.8,  10747,   62,    -220
Uranus,   95.7, 31763,     79,     28.5,   13.2,       -17.2,     17.2, 1784.8,  30589,   27,    -320
Neptune, 113.0, 30775,    102,     36.0,   14.6,        16.1,     16.1, 2793.1,  59800,   14,    -330
Pluto,  0.0161,  1464,    131,      2.3,    0.8,      -153.3,    153.3, 3670.0,  90560,    5,    -375
