0:1:54  0:0:0  0  Mash-tun  141.0 F, Target: 145.0 F, Pump on, status 3   HLT  152.9 F, Target: 155.0 F, Heat off, status -1 mix 0

0:1:57  0:0:0  0  Mash-tun  141.1 F, Target: 145.0 F, Pump on, status 3   HLT  152.9 F, Target: 155.0 F, Heat off, status -1 mix 0

0:2:0  0:0:0  0  Mash-tun  141.1 F, Target: 145.0 F, Pump on, status 3   HLT  152.8 F, Target: 155.0 F, Heat off, status -1 mix 0

0:2:3  0:0:0  0  Mash-tun  141.1 F, Target: 145.0 F, Pump on, status 3   HLT  152.8 F, Target: 155.0 F, Heat off, status 0 mix 0

Low temp - turning on the burner.

0:2:6  0:0:0  0  Mash-tun  141.1 F, Target: 145.0 F, Pump on, status 3   HLT  152.8 F, Target: 155.0 F, Heat on, status 1 mix 0

0:2:9  0:0:0  0  Mash-tun  141.2 F, Target: 145.0 F, Pump on, status 3   HLT  152.8 F, Target: 155.0 F, Heat on, status 1 mix 0

0:2:12  0:0:0  0  Mash-tun  141.2 F, Target: 145.0 F, Pump on, status 3   HLT  152.8 F, Target: 155.0 F, Heat on, status 1 mix 0

0:2:15  0:0:0  0  Mash-tun  141.4 F, Target: 145.0 F, Pump on, status 3   HLT  152.9 F, Target: 155.0 F, Heat on, status 1 mix 0

0:2:18  0:0:0  0  Mash-tun  141.4 F, Target: 145.0 F, Pump on, status 3   HLT  153.0 F, Target: 155.0 F, Heat on, status 1 mix 0

0:2:21  0:0:0  0  Mash-tun  141.4 F, Target: 145.0 F, Pump on, status 3   HLT  153.2 F, Target: 155.0 F, Heat on, status 1 mix 0

0:2:24  0:0:0  0  Mash-tun  141.4 F, Target: 145.0 F, Pump on, status 3   HLT  153.3 F, Target: 155.0 F, Heat on, status 1 mix 0

0:2:27  0:0:0  0  Mash-tun  141.5 F, Target: 145.0 F, Pump on, status 3   HLT  153.3 F, Target: 155.0 F, Heat on, status 1 mix 0

0:2:30  0:0:0  0  Mash-tun  141.5 F, Target: 145.0 F, Pump on, status 3   HLT  153.3 F, Target: 155.0 F, Heat on, status 1 mix 0

0:2:33  0:0:0  0  Mash-tun  141.5 F, Target: 145.0 F, Pump on, status 3   HLT  153.3 F, Target: 155.0 F, Heat on, status 1 mix 0

0:2:36  0:0:0  0  Mash-tun  141.6 F, Target: 145.0 F, Pump on, status 3   HLT  153.3 F, Target: 155.0 F, Heat on, status 1 mix 0

0:2:39  0:0:0  0  Mash-tun  141.6 F, Target: 145.0 F, Pump on, status 3   HLT  153.4 F, Target: 155.0 F, Heat on, status 1 mix 0

0:2:42  0:0:0  0  Mash-tun  141.6 F, Target: 145.0 F, Pump on, status 3   HLT  153.4 F, Target: 155.0 F, Heat on, status 1 mix 0

0:2:45  0:0:0  0  Mash-tun  141.6 F, Target: 145.0 F, Pump on, status 3   HLT  153.5 F, Target: 155.0 F, Heat on, status 1 mix 0

0:2:48  0:0:0  0  Mash-tun  141.7 F, Target: 145.0 F, Pump on, status 3   HLT  153.7 F, Target: 155.0 F, Heat on, status 1 mix 0

0:2:51  0:0:0  0  Mash-tun  141.7 F, Target: 145.0 F, Pump on, status 3   HLT  153.7 F, Target: 155.0 F, Heat on, status 1 mix 0

0:2:54  0:0:0  0  Mash-tun  141.7 F, Target: 145.0 F, Pump on, status 3   HLT  153.7 F, Target: 155.0 F, Heat on, status 1 mix 0

0:2:57  0:0:0  0  Mash-tun  141.8 F, Target: 145.0 F, Pump on, status 3   HLT  153.6 F, Target: 155.0 F, Heat on, status 1 mix 0

0:3:0  0:0:0  0  Mash-tun  141.8 F, Target: 145.0 F, Pump on, status 3   HLT  153.6 F, Target: 155.0 F, Heat on, status 1 mix 0

0:3:3  0:0:0  0  Mash-tun  141.9 F, Target: 145.0 F, Pump on, status 3   HLT  153.6 F, Target: 155.0 F, Heat on, status 1 mix 0

Cycling - turning off the burner.

0:3:6  0:0:0  0  Mash-tun  141.9 F, Target: 145.0 F, Pump on, status 3   HLT  153.5 F, Target: 155.0 F, Heat off, status -1 mix 0

0:3:9  0:0:0  0  Mash-tun  141.9 F, Target: 145.0 F, Pump on, status 3   HLT  153.5 F, Target: 155.0 F, Heat off, status -1 mix 0

0:3:12  0:0:0  0  Mash-tun  142.0 F, Target: 145.0 F, Pump on, status 3   HLT  153.4 F, Target: 155.0 F, Heat off, status -1 mix 0

0:3:15  0:0:0  0  Mash-tun  142.0 F, Target: 145.0 F, Pump on, status 3   HLT  153.4 F, Target: 155.0 F, Heat off, status -1 mix 0

0:3:18  0:0:0  0  Mash-tun  142.0 F, Target: 145.0 F, Pump on, status 3   HLT  153.3 F, Target: 155.0 F, Heat off, status -1 mix 0

0:3:21  0:0:0  0  Mash-tun  142.0 F, Target: 145.0 F, Pump on, status 3   HLT  153.3 F, Target: 155.0 F, Heat off, status -1 mix 0

0:3:24  0:0:0  0  Mash-tun  142.1 F, Target: 145.0 F, Pump on, status 3   HLT  153.3 F, Target: 155.0 F, Heat off, status -1 mix 0

