0:2:0  0:0:0  -1  Mash-tun  142.7 F, Target: 154.0 F, Pump on, status 3   HLT  157.1 F, Target: 164.0 F, Heat on, status 1 mix 0
0:2:3  0:0:0  -1  Mash-tun  142.6 F, Target: 154.0 F, Pump on, status 3   HLT  157.1 F, Target: 164.0 F, Heat on, status 1 mix 0
0:2:6  0:0:0  -1  Mash-tun  142.5 F, Target: 154.0 F, Pump on, status 3   HLT  157.1 F, Target: 164.0 F, Heat on, status 1 mix 0
0:2:9  0:0:0  -1  Mash-tun  142.4 F, Target: 154.0 F, Pump on, status 3   HLT  157.2 F, Target: 164.0 F, Heat on, status 1 mix 0
0:2:12  0:0:0  -1  Mash-tun  142.1 F, Target: 154.0 F, Pump on, status 3   HLT  157.2 F, Target: 164.0 F, Heat on, status 1 mix 0
0:2:15  0:0:0  -1  Mash-tun  142.4 F, Target: 154.0 F, Pump on, status 3   HLT  157.2 F, Target: 164.0 F, Heat on, status 1 mix 0
0:2:18  0:0:0  -1  Mash-tun  142.3 F, Target: 154.0 F, Pump on, status 3   HLT  157.3 F, Target: 164.0 F, Heat on, status 1 mix 0
0:2:21  0:0:0  -1  Mash-tun  142.3 F, Target: 154.0 F, Pump on, status 3   HLT  157.3 F, Target: 164.0 F, Heat off, status -1 mix 0
0:2:24  0:0:0  -1  Mash-tun  142.3 F, Target: 154.0 F, Pump on, status 3   HLT  157.3 F, Target: 164.0 F, Heat off, status -1 mix 0
0:2:27  0:0:0  -1  Mash-tun  142.1 F, Target: 154.0 F, Pump on, status 3   HLT  157.4 F, Target: 164.0 F, Heat off, status -1 mix 0
0:2:30  0:0:0  -1  Mash-tun  142.0 F, Target: 154.0 F, Pump on, status 3   HLT  157.5 F, Target: 164.0 F, Heat off, status -1 mix 0
0:2:33  0:0:0  -1  Mash-tun  141.9 F, Target: 154.0 F, Pump on, status 3   HLT  157.7 F, Target: 164.0 F, Heat off, status -1 mix 0
0:2:36  0:0:0  -1  Mash-tun  142.0 F, Target: 154.0 F, Pump on, status 3   HLT  157.8 F, Target: 164.0 F, Heat off, status -1 mix 0
0:2:39  0:0:0  -1  Mash-tun  142.0 F, Target: 154.0 F, Pump on, status 3   HLT  158.0 F, Target: 164.0 F, Heat off, status -1 mix 0
0:2:42  0:0:0  -1  Mash-tun  142.0 F, Target: 154.0 F, Pump on, status 3   HLT  158.1 F, Target: 164.0 F, Heat off, status -1 mix 0
0:2:45  0:0:0  -1  Mash-tun  141.9 F, Target: 154.0 F, Pump on, status 3   HLT  158.3 F, Target: 164.0 F, Heat off, status -1 mix 0
0:2:48  0:0:0  -1  Mash-tun  141.9 F, Target: 154.0 F, Pump on, status 3   HLT  158.5 F, Target: 164.0 F, Heat off, status -1 mix 0
0:2:51  0:0:0  -1  Mash-tun  141.6 F, Target: 154.0 F, Pump on, status 3   HLT  158.7 F, Target: 164.0 F, Heat off, status -1 mix 0
0:2:54  0:0:0  -1  Mash-tun  141.4 F, Target: 154.0 F, Pump on, status 3   HLT  158.8 F, Target: 164.0 F, Heat off, status -1 mix 0
0:2:57  0:0:0  -1  Mash-tun  141.4 F, Target: 154.0 F, Pump on, status 3   HLT  158.9 F, Target: 164.0 F, Heat off, status -1 mix 0
0:3:0  0:0:0  -1  Mash-tun  141.2 F, Target: 154.0 F, Pump on, status 3   HLT  159.0 F, Target: 164.0 F, Heat off, status -1 mix 0
0:3:3  0:0:0  -1  Mash-tun  141.1 F, Target: 154.0 F, Pump on, status 3   HLT  159.2 F, Target: 164.0 F, Heat off, status -1 mix 0
0:3:6  0:0:0  -1  Mash-tun  140.8 F, Target: 154.0 F, Pump on, status 3   HLT  159.5 F, Target: 164.0 F, Heat off, status -1 mix 0
0:3:9  0:0:0  -1  Mash-tun  140.6 F, Target: 154.0 F, Pump on, status 3   HLT  159.7 F, Target: 164.0 F, Heat off, status -1 mix 0
0:3:12  0:0:0  -1  Mash-tun  140.5 F, Target: 154.0 F, Pump on, status 3   HLT  159.8 F, Target: 164.0 F, Heat off, status -1 mix 0
0:3:15  0:0:0  -1  Mash-tun  140.3 F, Target: 154.0 F, Pump on, status 3   HLT  159.9 F, Target: 164.0 F, Heat off, status -1 mix 0
